ai_enabled,car_dirpath,car_id,car_make,car_model,car_name,car_name_abbreviated,car_types,car_weight,categories,created,first_sale,forum_url,free_with_subscription,has_headlights,has_multiple_dry_tire_types,has_rain_capable_tire_types,hp,price,price_display,rain_enabled,retired,search_filters,site_url
TRUE,indypropm18,120,Indy Pro 2000,PM-18,Indy Pro 2000 PM-18,PM18,"openwheel,oval,road",1100,formula_car,2020-03-31T14:54:20Z,2020-06-01T00:00:00Z,https://forums.iracing.com/categories/indy-pro-2000-pm-18,FALSE,FALSE,FALSE,FALSE,275,11.95,$11.95 ,FALSE,FALSE,"road,openwheel,oval",https://www.usf2000.com/about/road-to-indy
TRUE,kiaoptima,44,Kia,Optima,Kia Optima,KIAOPT,"gs,road,sportscar",3000,sports_car,2012-12-19T12:54:16Z,2013-04-18T00:00:00Z,https://forums.iracing.com/categories/kia-optima,TRUE,TRUE,FALSE,FALSE,375,0,$0.00 ,FALSE,FALSE,"road,sportscar,gs",http://www.iracing.com
TRUE,lamborghinievogt3,133,Lamborghini,Huracán GT3 EVO,Lamborghini Huracán GT3 EVO,LGT3,"gt3,gtd,huracan,road,sportscar",3013,sports_car,2020-11-05T18:36:47Z,2020-12-08T00:00:00Z,https://forums.iracing.com/categories/gt3,FALSE,TRUE,FALSE,TRUE,500,11.95,$11.95 ,TRUE,FALSE,"road,gt3,sportscar,gtd,huracan",https://www.lamborghini.com/en-en/motorsport/motorsport-models/
TRUE,latemodel2023,164,,Late Model Stock,Late Model Stock,LM23,oval,3100,oval,2023-01-26T13:36:37Z,2023-03-07T00:00:00Z,https://forums.iracing.com/categories/LateModel,FALSE,FALSE,FALSE,FALSE,500,11.95,$11.95 ,FALSE,FALSE,oval,
TRUE,legends\ford34c,5,Legends,Advanced,Legends Ford '34 Coupe,LEG,"legends,oval",1230,oval,2006-12-20T00:30:00Z,2008-02-04T00:00:00Z,https://forums.iracing.com/categories/legends-ford-34-coupe,TRUE,FALSE,FALSE,FALSE,135,0,$0.00 ,TRUE,FALSE,"oval,legends",
TRUE,ligierjsp320,165,Ligier,JSP 320,Ligier JS P320,LJSP,"lmp3,prototype,road,sportscar",2094,sports_car,2023-02-08T15:43:06Z,2023-06-06T00:00:00Z,https://forums.iracing.com/categories/ligier-js-p320,FALSE,TRUE,FALSE,TRUE,455,11.95,$11.95 ,TRUE,FALSE,"road,sportscar,prototype,lmp3",https://ligierautomotive.com/
TRUE,lotus49,42,Lotus,Lotus 49,Lotus 49,L49,"f1,formula1,formulaone,l49,openwheel,road",1200,formula_car,2012-09-25T16:01:16Z,2013-07-18T00:00:00Z,https://forums.iracing.com/categories/lotus-49,FALSE,FALSE,FALSE,FALSE,400,11.95,$11.95 ,FALSE,FALSE,"road,openwheel,L49,f1,formula1,formulaone",http://www.iracing.com
TRUE,lotus79,25,Lotus,Lotus 79,Lotus 79,L79,"f1,formula1,formulaone,l79,openwheel,road",1268,formula_car,2009-06-08T11:00:37Z,2009-07-28T00:00:00Z,https://forums.iracing.com/categories/lotus-79,FALSE,FALSE,FALSE,TRUE,475,11.95,$11.95 ,TRUE,FALSE,"road,openwheel,L79,f1,formula1,formulaone",www.lotus.com
FALSE,protrucks\pro2lite,113,,Pro 2 Lite,Lucas Oil Off Road Pro 2 Lite,PRO2L,"dirt,dirtroad,offroad,offroadtruck,road",4000,dirt_road,2019-08-12T13:22:36Z,2019-09-04T00:00:00Z,https://forums.iracing.com/categories/pro2Truck,TRUE,FALSE,FALSE,FALSE,400,0,$0.00 ,FALSE,FALSE,"dirt,road,dirtroad,offroad,offroadtruck",http://www.iracing.com/
FALSE,protrucks\pro2truck,104,,Pro 2,Lucas Oil Off Road Pro 2 Truck,PRO2,"dirt,dirtroad,offroad,offroadtruck,road",4000,dirt_road,2018-10-17T08:30:01Z,2019-06-03T00:00:00Z,https://forums.iracing.com/categories/pro2Truck,FALSE,FALSE,FALSE,FALSE,800,11.95,$11.95 ,FALSE,FALSE,"dirt,road,dirtroad,offroad,offroadtruck",http://www.iracing.com/
FALSE,protrucks\pro4truck,107,,Pro 4,Lucas Oil Off Road Pro 4 Truck,PRO4,"dirt,dirtroad,offroad,offroadtruck,road",4000,dirt_road,2018-10-17T08:30:01Z,2019-06-03T00:00:00Z,https://forums.iracing.com/categories/off-road-racing-pro-4-trucks,FALSE,FALSE,FALSE,FALSE,800,11.95,$11.95 ,FALSE,FALSE,"dirt,road,dirtroad,offroad,offroadtruck",http://www.iracing.com/
